id,Text,ZiChen,Basim,Alex,Final Labels
0,London as always is blue! 😎💙,OTHER,OTHER,PERS,OTHER
1,She hates us lmao,PERS,PERS,PERS,PERS
2,Finally scheduled for my second vaccine dose... on FRIDAY THE 13TH!! 💉😱🤣,PERS,PERS,PERS,PERS
3,This album taught me less is more,ENT,ENT,ENT,ENT
4,Watched Kemono Jihen yesterday and finished s1 today — quite interesting. Off to know what’s next with reading the manga hehe,ENT,ENT,ENT,ENT
5,Lmao okay??? The deceased’s 2 gfs are having one more showdown to the death.,PERS,PERS,ENT,PERS
6,Congrats,OTHER,OTHER,OTHER,OTHER
7,i am not sure if straight people actually exist .,PERS,SOC,SOC,SOC
8,Remember. Positive vibes only!! WE WANT SAAKK S2,ENT,ENT,ENT,ENT
9,i love olivia but… EMO??? when WILLOW SMITH IS RIGHT THERE ????,ENT,ENT,ENT,ENT
10,Good news for a change.,PERS,OTHER,PERS,PERS
11,"381 km , no accidents ,no nothing, I thank God.",PERS,PERS,PERS,PERS
12,Goodnight 💜,OTHER,PERS,PERS,PERS
13,It’s been so long since i was in school. How i do this financial aid shit again?,PERS,PERS,PERS,PERS
14,obviously this is about tigrex.,ENT,ENT,ENT,ENT
15,happy gf day to all the sapphics that don’t have a girlfriend &lt;3 - 🪁,PERS,SOC,PERS,PERS
16,I got no problem with stanton getting the day off. He’s lost,SPORT,PERS,SPORT,SPORT
17,you're mother,OTHER,OTHER,OTHER,OTHER
18,Why in the hell is Rusty here,OTHER,PERS,OTHER,OTHER
19,The devil has been working hard lately but God always working harder.,PERS,SOC,PERS,PERS
20,911 I’d like to report a crime,PERS,PERS,PERS,PERS
21,it’s fun to lose and to pretend,ENT,OTHER,PERS,OTHER
22,Yooooooo double digits on the bird app,PERS,ENT,PERS,PERS
23,Yes Olivia! Don’t play with her. Lol,PERS,PERS,ENT,PERS
24,SAG represents NPR and all of the various APM unions as well,SOC,SOC,SOC,SOC
25,Bones Hyland will win rookie of the year,SPORT,SPORT,SPORT,SPORT
26,But forgetting is a harder fight~~,PERS,OTHER,PERS,PERS
27,"August, please be good to me! 🙏🏾",PERS,PERS,PERS,PERS
28,"Impressive, and a giant vacuum cleaner potentially undercutting the NRSC and other GOP-aligned orgs.",SOC,SOC,SOC,SOC
29,"God, please hug me. :')",PERS,PERS,PERS,PERS
30,Reactivated my account - DM for videos 🦶🏻,OTHER,ENT,ENT,ENT
31,That makes me happier than you'll ever know.,PERS,PERS,PERS,PERS
32,stream ITZYYYYY,ENT,ENT,ENT,ENT
33,I'm 53 kg. I often feel embarrassed because my training is lacking...,PERS,PERS,PERS,PERS
34,nas my dad,ENT,ENT,ENT,ENT
35,dancing around your room to music and not giving a fuck is one of the ultimate forms of self care.,PERS,PERS,PERS,PERS
36,Exited to see Kris Bryant take the field today 🟧⬛️,SPORT,ENT,SPORT,SPORT
37,How stupid do you have to be to send more money to a crook???,PERS,PERS,OTHER,PERS
38,I stay with the came like Ron Isley,ENT,ENT,ENT,ENT
39,Birthday boy!!!!!,PERS,OTHER,PERS,PERS
40,This!,OTHER,OTHER,OTHER,OTHER
41,happy bday a mi wawi,PERS,PERS,PERS,PERS
42,first option was the weeknd😭,ENT,PERS,ENT,ENT
43,Holy crap. This was a choice.,PERS,PERS,OTHER,PERS
44,booty up - caio Luccas,ENT,ENT,ENT,ENT
45,This is giving season 2 Malin vs Terry,ENT,ENT,ENT,ENT
46,Happy august everyone :),PERS,PERS,PERS,PERS
47,Nketiah was seriously balling tho icl,SPORT,SPORTS,SPORT,SPORT
48,header&lt;3,OTHER,OTHER,OTHER,OTHER
49,He make beans pass.,OTHER,OTHER,OTHER,OTHER
50,iHealth Radio - The Fit and The Fab Drop Intro Coming up next,ENT,ENT,ENT,ENT
51,Wow! Geese enjoying flight.,PERS,OTHER,PERS,PERS
52,Y’all just going to act like you didn’t see the pass from Christian Pulisic tho.,SPORT,SPORTS,SPORT,SPORT
53,That’s my ride or die 4L ♥️,PERS,PERS,PERS,PERS
54,"I'm jealous of other people's relationship, just give me Tommy😭",PERS,PERS,PERS,PERS
55,DO THEM FUCKING BITCHES KNOW THAT?🗣,PERS,ENT,OTHER,OTHER
56,ah I knew this was coming 🤣❤️ Spot on 👑,PERS,PERS,OTHER,PERS
57,My waiter is high affffff🤣🤣. I don’t think it’s weed either,PERS,PERS,PERS,PERS
58,Any intelectual,OTHER,OTHER,OTHER,OTHER
59,Pussy is STILL mental and emotional support letsssssss not forget that though 😂,PERS,PERS,PERS,PERS
60,Cellphone battery towers,OTHER,OTHER,OTHER,OTHER
61,We've had growth and now we are able to look at life through new eyes.,PERS,PERS,PERS,PERS
