id,text,label
0,London as always is blue! 😎💙,OTHER
1,She hates us lmao,PERS
2,Finally scheduled for my second vaccine dose... on FRIDAY THE 13TH!! 💉😱🤣,PERS
3,This album taught me less is more,ENT
4,Watched Kemono Jihen yesterday and finished s1 today — quite interesting. Off to know what’s next with reading the manga hehe,ENT
5,Lmao okay??? The deceased’s 2 gfs are having one more showdown to the death.,PERS
6,Congrats,OTHER
7,i am not sure if straight people actually exist .,SOC
8,Remember. Positive vibes only!! WE WANT SAAKK S2,ENT
9,i love olivia but… EMO??? when WILLOW SMITH IS RIGHT THERE ????,ENT
10,Good news for a change.,PERS
11,"381 km , no accidents ,no nothing, I thank God.",PERS
12,Goodnight 💜,PERS
13,It’s been so long since i was in school. How i do this financial aid shit again?,PERS
14,obviously this is about tigrex.,ENT
15,happy gf day to all the sapphics that don’t have a girlfriend &lt;3 - 🪁,PERS
16,I got no problem with stanton getting the day off. He’s lost,SPORT
17,you're mother,OTHER
18,Why in the hell is Rusty here,OTHER
19,The devil has been working hard lately but God always working harder.,PERS
20,911 I’d like to report a crime,PERS
21,it’s fun to lose and to pretend,OTHER
22,Yooooooo double digits on the bird app,PERS
23,Yes Olivia! Don’t play with her. Lol,PERS
24,SAG represents NPR and all of the various APM unions as well,SOC
25,Bones Hyland will win rookie of the year,SPORT
26,But forgetting is a harder fight~~,PERS
27,"August, please be good to me! 🙏🏾",PERS
28,"Impressive, and a giant vacuum cleaner potentially undercutting the NRSC and other GOP-aligned orgs.",SOC
29,"God, please hug me. :')",PERS
30,Reactivated my account - DM for videos 🦶🏻,ENT
31,That makes me happier than you'll ever know.,PERS
32,stream ITZYYYYY,ENT
33,I'm 53 kg. I often feel embarrassed because my training is lacking...,PERS
34,nas my dad,ENT
35,dancing around your room to music and not giving a fuck is one of the ultimate forms of self care.,PERS
36,Exited to see Kris Bryant take the field today 🟧⬛️,SPORT
37,How stupid do you have to be to send more money to a crook???,PERS
38,I stay with the came like Ron Isley,ENT
39,Birthday boy!!!!!,PERS
40,This!,OTHER
41,happy bday a mi wawi,PERS
42,first option was the weeknd😭,ENT
43,Holy crap. This was a choice.,PERS
44,booty up - caio Luccas,ENT
45,This is giving season 2 Malin vs Terry,ENT
46,Happy august everyone :),PERS
47,Nketiah was seriously balling tho icl,SPORT
48,header&lt;3,OTHER
49,He make beans pass.,OTHER
50,iHealth Radio - The Fit and The Fab Drop Intro Coming up next,ENT
51,Wow! Geese enjoying flight.,PERS
52,Y’all just going to act like you didn’t see the pass from Christian Pulisic tho.,SPORT
53,That’s my ride or die 4L ♥️,PERS
54,"I'm jealous of other people's relationship, just give me Tommy😭",PERS
55,DO THEM FUCKING BITCHES KNOW THAT?🗣,OTHER
56,ah I knew this was coming 🤣❤️ Spot on 👑,PERS
57,My waiter is high affffff🤣🤣. I don’t think it’s weed either,PERS
58,Any intelectual,OTHER
59,Pussy is STILL mental and emotional support letsssssss not forget that though 😂,PERS
60,Cellphone battery towers,OTHER
61,We've had growth and now we are able to look at life through new eyes.,PERS
62,Oml i miss jjk so much🥺😣😣😭😭💕💕 thank you for this gege. Please keep them happy please pleaseee,ENT
63,Or apt for that matter,OTHER
64,going to see a dress rehearsal for Wicked !!,ENT
65,"nooo not the ""since she's the only one w a social life I believe"" 😭😭",PERS
66,I just find out blackpick will be on Weverse august 2 noon Maybe 12pm,ENT
67,Love it!,OTHER
68,"soon I will update the art shop a little bit. gotta change some things, make some room for greatness, and just feel the vibes.",PERS
69,I am glad I have jaehyuk as one of my biases.. Please.. Yedam and Asahi just....😭,ENT
70,sunric my beloved thanks for the updates tonight 🤩✨,OTHER
71,It’s funny because I also had 11 shows planned for last year,PERS
72,I been putting actual effort in to my looks for the past 3 days and I'm already exhausted idk how influencers do it,PERS
73,my gender is small victorian boy who is just now getting the hang of the twenty-first century,PERS
74,NOELLE FUCKING CONFESSION TO HERSELF,OTHER
75,"Joseline and that show is a mess, but she knew what she was doing with that song because it’s so catchy. 🥴😂",ENT
76,Ppl only care about themselves and it shows,PERS
77,What the fuck,OTHER
78,He looks so good in blonde 😩😩😭,PERS
79,Guys... There's college football this month!,SPORT
80,Old scottie snipes needs a chance😀,OTHER
81,I stand in the back and don’t say shit.,PERS
82,"It’s the middle of the summer , i got my hoodie on",PERS
83,Why does no one steal my tweets am I that boring omg 😞,PERS
84,𓂋 happy mark lee day ♡ i'm happy just to see you happy. I will always be here for you.,PERS
85,if they really wanted u they would teleport 😞,PERS
86,well deserved 👏🏼💙,OTHER
87,"I'm talking about how career oriented and goal focused she is, but yes also other things as well lmao",PERS
88,see i was gonna read the song of achilles but the cover is so ugly it’s making me not want to buy it,ENT
89,sometimes people have evil intentions,PERS
90,I look Like ranboo omds,ENT
91,I know belichick was pissed after that L,SPORT
92,Amazing news!! These movies rule.,ENT
93,Chillar- to scream (in pain or fear),OTHER
94,I really don’t give a good god damn what Susan “very concerned” Collins thinks. Do you?,PERS
95,If you miss ya wave that’s on you… ain’t no U-TURNS!🔃,PERS
96,Yikes on bikes,OTHER
97,They the opps for life 🥴,PERS
98,just saw oomf's pinned and now i am struggling to breathe 😩😩,PERS
99,lovelyz,OTHER
100,She should expect me to cook and know how to handle kids 😌,PERS
101,the way i cant stop watching this,PERS
102,No unnecessary spending in august,PERS
103,light of my life,PERS
104,pspsps boyfriends please pspsps girlfriends please,PERS
105,my fave clip on the internet right now,PERS
106,Things are definitely going back to normal. Sunday afternoon band practice has resumed at the halls next door 🥁,PERS
107,first media jancok,OTHER
108,I agree but I think we already are living at a lower standard ie smaller paychecks,PERS
109,I said on priv that Good Guy vs Knobhead was an interesting championship battle but I miss Good Guy vs Good Guy bring back Sewis,ENT
110,don’t waste the time i don’t have,PERS
111,276800 Complete :276824-8/1/2021-R60-43C-2 Availability CheckAverage Empty Length 447&lt;br /&gt;Efficiency 73.39%&lt;br /&gt;,OTHER
112,why me babying men 13 years older than me😌,PERS
113,How bout we build the moon together?,PERS
114,Something Neo cannot do no matter how they convince him,ENT
