id,Text,Label,Notes
0,London as always is blue! 😎💙,,
1,She hates us lmao,,
2,Finally scheduled for my second vaccine dose... on FRIDAY THE 13TH!! 💉😱🤣,,
3,This album taught me less is more,,
4,Watched Kemono Jihen yesterday and finished s1 today — quite interesting. Off to know what’s next with reading the manga hehe,,
5,Lmao okay??? The deceased’s 2 gfs are having one more showdown to the death.,,
6,Congrats,,
7,i am not sure if straight people actually exist .,,
8,Remember. Positive vibes only!! WE WANT SAAKK S2,,
9,i love olivia but… EMO??? when WILLOW SMITH IS RIGHT THERE ????,,
10,Good news for a change.,,
11,"381 km , no accidents ,no nothing, I thank God.",,
12,Goodnight 💜,,
13,It’s been so long since i was in school. How i do this financial aid shit again?,,
14,obviously this is about tigrex.,,
15,happy gf day to all the sapphics that don’t have a girlfriend &lt;3 - 🪁,,
16,I got no problem with stanton getting the day off. He’s lost,,
17,you're mother,,
18,Why in the hell is Rusty here,,
19,The devil has been working hard lately but God always working harder.,,
20,911 I’d like to report a crime,,
21,it’s fun to lose and to pretend,,
22,Yooooooo double digits on the bird app,,
23,Yes Olivia! Don’t play with her. Lol,,
24,SAG represents NPR and all of the various APM unions as well,,
25,Bones Hyland will win rookie of the year,,
26,But forgetting is a harder fight~~,,
27,"August, please be good to me! 🙏🏾",,
28,"Impressive, and a giant vacuum cleaner potentially undercutting the NRSC and other GOP-aligned orgs.",,
29,"God, please hug me. :')",,
30,Reactivated my account - DM for videos 🦶🏻,,
31,That makes me happier than you'll ever know.,,
32,stream ITZYYYYY,,
33,I'm 53 kg. I often feel embarrassed because my training is lacking...,,
34,nas my dad,,
35,dancing around your room to music and not giving a fuck is one of the ultimate forms of self care.,,
36,Exited to see Kris Bryant take the field today 🟧⬛️,,
37,How stupid do you have to be to send more money to a crook???,,
38,I stay with the came like Ron Isley,,
39,Birthday boy!!!!!,,
40,This!,,
41,happy bday a mi wawi,,
42,first option was the weeknd😭,,
43,Holy crap. This was a choice.,,
44,booty up - caio Luccas,,
45,This is giving season 2 Malin vs Terry,,
46,Happy august everyone :),,
47,Nketiah was seriously balling tho icl,,
48,header&lt;3,,
49,He make beans pass.,,
50,iHealth Radio - The Fit and The Fab Drop Intro Coming up next,,
51,Wow! Geese enjoying flight.,,
52,Y’all just going to act like you didn’t see the pass from Christian Pulisic tho.,,
53,That’s my ride or die 4L ♥️,,
54,"I'm jealous of other people's relationship, just give me Tommy😭",,
55,DO THEM FUCKING BITCHES KNOW THAT?🗣,,
56,ah I knew this was coming 🤣❤️ Spot on 👑,,
57,My waiter is high affffff🤣🤣. I don’t think it’s weed either,,
58,Any intelectual,,
59,Pussy is STILL mental and emotional support letsssssss not forget that though 😂,,
60,Cellphone battery towers,,
61,We've had growth and now we are able to look at life through new eyes.,,
62,Oml i miss jjk so much🥺😣😣😭😭💕💕 thank you for this gege. Please keep them happy please pleaseee,,
63,Or apt for that matter,,
64,going to see a dress rehearsal for Wicked !!,,
65,"nooo not the ""since she's the only one w a social life I believe"" 😭😭",,
66,I just find out blackpick will be on Weverse august 2 noon Maybe 12pm,,
67,Love it!,,
68,"soon I will update the art shop a little bit. gotta change some things, make some room for greatness, and just feel the vibes.",,
69,I am glad I have jaehyuk as one of my biases.. Please.. Yedam and Asahi just....😭,,
70,sunric my beloved thanks for the updates tonight 🤩✨,,
71,It’s funny because I also had 11 shows planned for last year,,
72,I been putting actual effort in to my looks for the past 3 days and I'm already exhausted idk how influencers do it,,
73,my gender is small victorian boy who is just now getting the hang of the twenty-first century,,
74,NOELLE FUCKING CONFESSION TO HERSELF,,
75,"Joseline and that show is a mess, but she knew what she was doing with that song because it’s so catchy. 🥴😂",,
76,Ppl only care about themselves and it shows,,
77,What the fuck,,
78,He looks so good in blonde 😩😩😭,,
79,Guys... There's college football this month!,,
80,Old scottie snipes needs a chance😀,,
81,I stand in the back and don’t say shit.,,
82,"It’s the middle of the summer , i got my hoodie on",,
83,Why does no one steal my tweets am I that boring omg 😞,,
84,𓂋 happy mark lee day ♡ i'm happy just to see you happy. I will always be here for you.,,
85,if they really wanted u they would teleport 😞,,
86,well deserved 👏🏼💙,,
